City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
258,hasaki,35.7333,140.8333,31.27,72,71,1.74,JP,1722731000
259,remire-montjoly,4.9167,-52.2667,25.02,94,0,1.03,GF,1722731001
260,khost,33.3395,69.9204,24.05,83,60,1.75,AF,1722731003
261,georgetown,5.4112,100.3354,26.96,74,20,1.03,MY,1722731004
262,broken hill,-31.95,141.4333,13.33,38,100,3.69,AU,1722731005
263,la asuncion,11.0333,-63.8628,28.85,79,86,6.17,VE,1722731006
264,puerto carreno,6.189,-67.4859,26.19,84,43,3.05,CO,1722731007
265,n'zeto,-7.2312,12.8666,19.58,90,4,2.64,AO,1722731008
266,broome,42.2506,-75.833,23.43,81,0,0.89,US,1722731010
267,reggane,26.7158,0.1714,36.17,8,0,4.96,DZ,1722731011
268,metro,-5.1131,105.3067,24.35,91,11,1.85,ID,1722731012
269,sovetskaya gavan',48.9723,140.2878,15.4,77,99,0.88,RU,1722731013
270,haiku-pauwela,20.9219,-156.3051,27.92,75,40,11.32,US,1722731014
271,merizo village,13.2658,144.6691,28.88,88,100,8.67,GU,1722731016
272,heihe,50.2441,127.4902,21.32,98,100,3.83,CN,1722731017
273,sampit,-2.5333,112.95,25.23,87,29,1.9,ID,1722731018
274,katsuren-haebaru,26.3369,127.8719,32.21,76,40,5.14,JP,1722731019
275,pelabuhanratu,-6.9875,106.5514,24.72,87,42,1.75,ID,1722731020
276,dunedin,-45.8742,170.5036,8.75,58,82,2.35,NZ,1722730782
277,maintirano,-18.0667,44.0167,20.28,81,33,3.53,MG,1722731023
278,forbes,-33.3833,148.0167,9.08,57,100,2.61,AU,1722731025
279,san patricio,28.017,-97.5169,33.08,55,26,6.67,US,1722731026
280,fale old settlement,-9.3852,-171.2468,27.7,79,63,5.95,TK,1722731027
281,abashiri,44.0213,144.2697,21.16,88,75,4.63,JP,1722731028
282,port macquarie,-31.4333,152.9167,16.61,64,86,0.45,AU,1722731029
